file,FaceIndex,AU01,AU02,AU03,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
bullied.jpg,1,0.30290517,0.17851433,0.7896339,0.4804888,0.15502875,0.0,0.13414975,0.0065873805,0.0,0.036516644,0.45928565,0.46691948,0.64821583,0.0,0.4399886,0.8210373,0.08383714,0.044790287,0.23218063,0.03550361
bullied.jpg,2,0.40911397,0.4246532,0.18970332,0.5022987,0.080276,0.0,0.13257736,0.021833332,0.0,0.059203036,0.21312869,0.48336053,0.46589625,0.0,0.71763676,0.529451,0.026455363,0.12784502,0.17405877,0.10107079
sad-man.jpg,1,0.6524167,0.41705957,0.22495703,0.48330763,0.27161163,1.0,0.2858861,0.04330919,0.0,0.34129685,0.24355169,0.21561986,0.44335592,0.0,0.2724891,0.5720338,0.65535295,0.47471425,0.10162629,0.35956174
piggyback.jpg,1,0.5864765,0.16321968,0.60164696,0.31664377,0.7740514,1.0,0.52662456,0.62572235,1.0,0.7165292,0.21894272,0.499463,0.32039508,1.0,0.21214275,0.012363774,0.99986863,0.65628725,0.040423755,0.3011033
piggyback.jpg,2,0.351272,0.449598,0.3280069,0.25341606,0.710987,1.0,0.48573294,0.99172264,1.0,0.7671435,0.6892379,0.21036646,0.19683048,1.0,0.29810482,0.03845906,0.99998736,0.28995284,0.2261211,0.8335736
students.jpg,1,0.5558299,0.18997869,0.68691814,0.29210836,0.36650565,0.0,0.62446433,0.020526297,0.0,0.07076251,0.12958825,0.7162517,0.5006404,1.0,0.5740352,0.13512674,0.97724867,0.7638206,0.20118934,0.8140925
students.jpg,2,0.41810817,0.1897228,0.10245663,0.35365656,0.9325026,1.0,0.605929,0.8368785,0.0,0.97037876,0.8710374,0.43248558,0.105571486,1.0,0.11315114,0.0075624716,0.9999486,0.6717542,0.054136325,0.044401348
students.jpg,3,0.39198422,0.23778518,0.33462003,0.3566392,0.6444224,0.0,0.59473526,0.60590434,1.0,0.6827037,0.685942,0.17885037,0.3105247,1.0,0.5581595,0.08285046,0.9918818,0.449361,0.063979894,0.030154578
students.jpg,4,0.39903986,0.12925035,0.79021394,0.2991495,0.51252156,0.0,0.47428873,0.9106908,0.0,0.38254043,0.6647869,0.3545484,0.353415,1.0,0.7190236,0.035666436,0.99935514,0.7954663,0.14367336,0.7886933
arguing.jpg,1,0.15138602,0.14014101,0.35454836,0.36135247,0.10233344,0.0,0.18134262,0.17728338,1.0,0.07380241,0.6924759,0.31677103,0.37314612,1.0,0.64948523,0.6384457,0.04600134,0.10988351,0.13992277,0.060353253
arguing.jpg,2,0.3845087,0.12707442,0.83368117,0.459386,0.06193259,0.0,0.20272689,0.00074120495,0.0,0.011078882,0.14603424,0.5238988,0.47095913,0.0,0.29449004,0.47679114,0.003550798,0.232277,0.91375905,0.051892895
